Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
40,10,12,0,0,5.6052
50,10,12,0,0,5.612
60,10,12,0,0,5.6188
70,10,12,0,0,5.6256
80,10,12,0,0,5.6324
90,10,12,0,0,5.6392
100,10,12,0,0,5.646
110,10,12,0,0,5.654
120,10,12,0,0,5.662
130,10,12,0,0,5.67
140,10,12,0,0,5.678
150,10,12,0,0,5.686
160,10,12,0,0,5.694
170,10,12,0,0,5.702
180,10,12,0,0,5.71
190,10,12,0,0,5.718
200,10,12,0,0,5.726
210,10,12,0,0,5.7272
220,10,12,0,0,5.7284
230,10,12,0,0,5.7296
240,10,12,0,0,5.7308
250,10,12,0,0,5.732
260,10,12,0,0,5.7332
270,10,12,0,0,5.7344
280,10,12,0,0,5.7356
290,10,12,0,0,5.7368
300,10,12,0,0,5.738
310,10,12,0,0,5.7667
320,10,12,0,0,5.7954
330,10,12,0,0,5.8241
340,10,12,0,0,5.8528
350,10,12,0,0,5.8815
360,10,12,0,0,5.9102
370,10,12,0,0,5.9389
380,10,12,0,0,5.9676
390,10,12,0,0,5.9963
400,10,12,0,0,6.025
410,10,12,0,0,6.0803
420,10,12,0,0,6.1356
430,10,12,0,0,6.1909
440,10,12,0,0,6.2462
450,10,12,0,0,6.3015
460,10,12,0,0,6.3568
470,10,12,0,0,6.4121
480,10,12,0,0,6.4674
490,10,12,0,0,6.5227
500,10,12,0,0,6.578
510,10,12,0,0,6.5814
520,10,12,0,0,6.5848
530,10,12,0,0,6.5882
540,10,12,0,0,6.5916
550,10,12,0,0,6.595
560,10,12,0,0,6.5984
570,10,12,0,0,6.6018
580,10,12,0,0,6.6052
590,10,12,0,0,6.6086
600,10,12,0,0,6.612
0,40,12,0,14,8.691
10,40,12,0,14,8.7224
20,40,12,0,14,8.7538
30,40,12,0,14,8.7852
40,40,12,0,14,8.8166
50,40,12,0,14,8.848
60,40,12,0,14,8.8794
70,40,12,0,14,8.9108
80,40,12,0,14,8.9422
90,40,12,0,14,8.9736
100,40,12,0,14,9.005
110,40,12,0,14,9.0464
120,40,12,0,14,9.0878
